CustomerID,Churn,Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,LifetimeValue,PreferredLoginDevice_Computer,PreferredLoginDevice_Mobile Phone,PreferredPaymentMode_Cash On Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_Unified Payment Interface,Gender_Female,Gender_Male,PreferedOrderCat_Fashion,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Cluster
50001,1,4,3,6,3,3,2,9,1,11,1,1,5,160,44,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
50002,1,10,1,8,3,4,3,7,1,15,0,1,0,121,152,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
50003,1,10,1,30,2,4,3,6,1,14,0,1,3,120,142,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
50004,1,0,3,15,2,4,5,8,0,23,0,1,3,134,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
50005,1,0,1,12,2,3,5,3,0,11,1,1,3,130,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
50006,1,0,1,22,3,5,5,2,1,22,4,6,7,139,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
50007,1,10,3,11,2,3,2,4,0,14,0,1,0,121,142,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
50008,1,10,1,6,3,3,2,3,1,16,2,2,0,123,326,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
50009,1,13,3,9,2,4,3,2,1,14,0,1,2,127,182,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
50010,1,10,1,31,2,5,3,2,0,12,1,1,1,123,122,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
50011,1,4,1,18,2,3,3,2,0,15,9,15,8,295,942,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
50012,1,11,1,6,3,4,3,10,1,13,0,1,0,154,143,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
